id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
127,1938,Located on Lombard Street at Telegraph Hill Road.,,"37.8029189,-122.412311",Public Display,District 3,"Lombard Street, Telegraph Hill",,San Francisco Arts Commission,bronze,bronze,"Puccienlli, Raymond",Guglielmo Marconi (1874-1937) Memorial Plaque
128,1938,Purchased by the San Francisco Art Commission for the Civic Auditorium,,"37.777938, -122.416877",City Department,District 6,Civic Auditorium,Polk Hall,San Francisco Arts Commission,mural,mural,"Hesthal, William",Untitled
129,1938,Commissioned by the San Francisco Art Commission for Larkin Hall in the Civic Auditorium.,,"37.777938, -122.416877",Public Display,District 6,Civic Auditorium,Larkin Hall,San Francisco Arts Commission,mural,mural,"Kadish, Ruben",Untitled
130,1939,,4'H,"37.772014, -122.449885",Public Display,District 1,Golden Gate Park,Children's Playground,San Francisco Arts Commission,sandstone,sandstone,"Moxom, Jack",Sarah B. Cooper Memorial
131,1939,,"16"" granite head on 4' H wooden pedestal","38.017438,-122.138582",City Department,District 6,City Recorder,,San Francisco Arts Commission,granite,granite,"Stackpole, Ralph",Edmund Godchaux (1849-1939)
132,1940,Orignally commissioned for the Golden Gate International Exposition of 1939. Permanently placed in the Academy of Sciences in Golden Gate Park.,,"37.7277894,-122.451725",Storage,District 11,City College of San Francisco,Phelan Campus,San Francisco Arts Commission,artificial granite,cast black artificial granite,"Howard, Robert B.",Whales
133,1940,Gift of the Golden Gate International Exposition.,"26' H X 21"" in circumference","37.7277894,-122.451725",Public Display,District 11,City College of San Francisco,Phelan campus,San Francisco Arts Commission,redwood,redwood log,"Carter, Dudley C.",Goddess of the Forest
134,1940,Commissioned for the Golden Gate Exposition of 1939.,7' long,"37.768943, -122.460917",City Department,District 1,Golden Gate Park,Nursery,San Francisco Arts Commission,artificial granite,cast black artificial granite,"Graham, Cecelia",The Dolphins
135,1940,Commissioned for the Golden Gate Exposition of 1939,,"37.792778,-122.404786",Public Display,District 3,Federal Home Loan Bank of San Francisco,,San Francisco Arts Commission,oil,oil,"Ilyin, Peter",Untitled Mural
136,1940,Commissioned for the Golden Gate Exposition of 1939,156 in. x 108 in.,"37.792778,-122.404786",Public Display,District 3,Federal Home Loan Bank of San Francisco,,San Francisco Arts Commission,oil,oil,"Ilyin, Peter",Untitled Mural
137,1940,Commissioned by the Golden Gate Bridge and Highway District.,,"37.809623, -122.477169",Public Display,District 2,Golden Gate Bridge,Toll Crossing,San Francisco Arts Commission,bronze,bronze,"Schweigardt, Frederick W.",Joseph B. Strauss (1870-1938) Memorial
138,1940,Gift of the Sailors Union of the Pacific.,"2 1/2' H sculpture on 9 1/2"" H shaft","37.7976769,-122.3943387",Public Display,District 3,Embarcadero,Foot of Market,San Francisco Arts Commission,bronze,bronze,"Runyon, Hal Bayard",Andrew Furuseth (1854-1938)
139,1940,Commissioned by the San Francisco Art Commission for San Francisco City College,6' H on 7 ' base,"37.7277894,-122.451725",Public Display,District 8,City College of San Francisco,Ocean Campus,San Francisco Arts Commission,stone,tuff stone,"Olmsted, Frederick Law Jr.",Edison
140,1940,Commissioned by the San Francisco Art Commission for San Francisco City College,6 ' H on 7 ' base,"37.7277894,-122.451725",Public Display,District 8,City College of San Francisco,Ocean Campus,San Francisco Arts Commission,stone,tuff stone,"Olmsted, Frederick Law",Leonardo da Vinci
141,1940,Commissioned for San Francisco City College,50' H X 45' W,"37.7277894,-122.451725",Public Display,District 7,City College of San Francisco,Science Building,San Francisco Arts Commission,mosaic,mosaic,"Volz, Herman",Education (Organic and Inorganic Science)
142,1940,Gift of Major Edward Bowos.,10' H X 7' W X 5' D,"37.8066235,-122.4391137",Public Display,District 2,Marina Green,,San Francisco Arts Commission,"marble, bronze",marble and bronze,"Patigian, Haig",William C. Ralston (1826-1875) Monument
143,1940,Property of San Francisco City College,"22' H X 73' 9"" W","37.7256859,-122.4508478",Public Display,District 11,City College of San Francisco,Phelan Campus,San Francisco Arts Commission,fresco,fresco,"Rivera, Diego",Marriage of the Artistic Expression of the North and South of this Continent
144,1942,Gift of Mrs. James L. Flood,"45"" H by 4' diameter","37.792033,-122.4122163",Public Display,District 3,Huntington Park,,San Francisco Arts Commission,bronze,bronze,"Greber, Henri Leon",Dancing Sprites
145,1942,WPA Project,18 in. x 30 in.,"37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,granite,granite,"Bufano, Beniamino",Mouse
146,1942,WPA,"60"" (L) x  36"" (W)","37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,granite,granite,"Bufano, Beniamino",Cat
147,1942,WPA,"36"" (L) x 36"" (H)","37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,granite,granite,"Bufano, Beniamino",Butterfly
148,1942,WPA,72 in. x 96 in.,"37.8252754,-122.3778015",Public Display,District 5,Westside Courts,,San Francisco Arts Commission,granite,granite,"Bufano, Beniamino",Horse and Rider (St. Francis on Horseback)
149,1942,Work Progress Adminstration,,"37.7277894,-122.451725",Public Display,District 8,City College of San Francisco,Ocean Campus,San Francisco Arts Commission,fresco,fresco,"Olmsted, Jr., Frederick Law",Education (Theory and Science)
150,1942,,72 in. x 36 in.,"37.806376,-122.423905",Public Display,District 3,Maritime Museum,,San Francisco Arts Commission,granite,brown granite,"Bufano, Beniamino",Seal
151,1942,,180 in.,"37.7970899,-122.398337",Public Display,District 3,Golden Gateway,Jackson and Davis,San Francisco Arts Commission,"porphyry, steel",red porphyry and stainless steel,"Bufano, Beniamino",Penguins
152,1942,,,"37.806376,-122.423905",Public Display,District 3,Maritime Museum,,San Francisco Arts Commission,black granite,black granite,"Bufano, Beniamino",Frog
153,1942,Located in Valencia Public Housing Project,,"37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,granite,cast granite,"Bufano, Beniamino",Bear and Cubs
154,1942,,30 in.,"37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,marble,marble,"Bufano, Beniamino",Cat and Mouse
155,1942,Located in Valencia Public Housing Project,18 in.,"37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,marble,marble,"Bufano, Beniamino",Rabbit
156,1942,Located in Valencia Public Housing Project,"72"" (L) x 24"" (W)","37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,granite,granite,"Bufano, Beniamino",Two Sea Lions
157,1942,WPA Project,,"37.7665965,-122.4233043",Public Display,District 6,Valencia Gardens,,San Francisco Arts Commission,marble,marble,"Bufano, Beniamino",Small Fish--Big Fish
158,1944,Gift of A.B. Spreckles,"5'6"" H","37.76904,-122.4835193",Public Display,District 1,Golden Gate Park,"JFK, south side, at Rhod. Dell",San Francisco Arts Commission,bronze,bronze,"Cummings, M. Earl",John McLaren (1846-1943)
159,1948,Gift of Gumps to the Japanese Tea Garden,10 1/2' H,"37.7701722,-122.4701557",Public Display,District 1,Golden Gate Park,Japanese Tea Garden,San Francisco Arts Commission,bronze,bronze,Anonymous,Amazarasti-no Hotoke (the Buddha that sits throughout the sunny and rainy weathe
160,1948,Commissioned by the San Francisco Art Commission for City Hall,Over lifesize bust on 5' H shaft,"37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,bronze,bronze,"Cravath, Ruth Wakefield",Angelo J. Rossi (1878-1948)
161,1951,Gift of the Beethoven Maenercher of New York to the city of San Francisco,,"37.7703537,-122.4666711",Public Display,District 1,Golden Gate Park,Music Concourse,San Francisco Arts Commission,bronze,bronze,Anonymous,Ludwig Van Beethoven (1770-1827)
162,1952,Commissioned by the San Francisco Housing Authority for the Chinese Health Center,,"37.795187, -122.404018",Public Display,District 3,Chinese Cultural Center,750 Kearney,San Francisco Arts Commission,egg tempura,egg tempura,"Leong, James",100 Years of Progress of Chinese in America
163,1954,,"24"" H","37.800374, -122.410452",Public Display,District 3,Columbus Avenue,at Union and Powell,San Francisco Arts Commission,bronze,bronze,"Quilici, Gladys Nevada",Frank Marini (1862-1952)
164,1954,Gift of Mrs. William H. Crocker,,"37.792033,-122.4122163",Public Display,District 3,Huntington Park,,San Francisco Arts Commission,"marble, bronze",marble and bronze,Anonymous,Fountain of the Tortoises
165,1955,,,"37.7842191,-122.4348103",Public Display,District 5,Hamilton Rec. Center,,San Francisco Arts Commission,"carved, ceramic",carved and glazed ceramic,"Erckenbrack, Mary E.",Ceramic Mural on Athletics
166,1956,,456 in. x 30 in.,"37.7146289,-122.4802906",Public Display,District 7,800 Brotherhood Way,,San Francisco Arts Commission,granite,granite,"Bufano, Beniamino",Peace
167,1957,Gift to the City of San Francisco by the Italian community of San Francisco.,12' tall marble surround 24 ',"37.802409,-122.40587",Public Display,District 3,Telegraph Hill,,San Francisco Arts Commission,bronze,bronze,"Di Colbertaldo, Vittorio",Christopher Columbus
168,1958,Gift of the Artist to the City of San Francisco in 1958.,"78"" H X 35"" W","37.767858, -122.469778",Public Display,District 1,Golden Gate Park,"Arboretum, Fragrance Garden",San Francisco Arts Commission,bronze,bronze,"Huntington, Clara",St. Francis of Assisi (Feeding the Birds)
169,1960,"Gift of San Francisco's Sister City, Osaka Japan","88 X 60 X 34 ""","37.7069424,-122.4525624",Public Display,District 1,Lincoln Park,NW side,San Francisco Arts Commission,"bronze, granite",granite with bronze plaque,Anonymous,Kanrin Maru Monument
170,1966,Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"37.795036, -122.400299",Public Display,District 3,Golden Gateway Plaza,,San Francisco Arts Commission,bronze,bronze,"Moore, Henry",Standing Figure Knife Edged- Winged Figure
171,1966,Purchased through a project of the Redevelopment Agency for the Golden Gateway Plaza,,"37.795036, -122.400299",Public Display,District 3,Golden Gateway Plaza,,San Francisco Arts Commission,bronze,bronze,"Marini, Marino",Bronze Horse
172,1966,Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"37.795036, -122.400299",Public Display,District 3,Golden Gateway Plaza,,San Francisco Arts Commission,bronze,bronze,"Perry, Charles O.",Bronze Icosahedron
173,1966,Purchased by the San Francisco Art Commission for the Golden Gateway Plaza,,"37.7953907,-122.3991803",Public Display,District 3,Maritime Plaza,,San Francisco Arts Commission,aluminum,aluminum,"Stern, Jan Peter",Limits of Horizon II
174,1966,Gift of the Mexican Colony to the City of San Francisco,"sculpture: 12' X 4' X 3' base: 7' '9 1/2"" X 9' 6"" X 9' 6""","37.7596965,-122.4282213",Public Display,District 8,Dolores Park,Church St. at 19th St.,San Francisco Arts Commission,"bronze, granite",bronze sculpture on black granite veneer base,"Olaguibel, Juan",Miguel Hidalgo Y Costilla
175,1967,"Gift to San Francisco from Luis Encina, the Governor of the State of Sonora, Mexico 1967.",88 in. x 142 in. x 70 in.,"37.722629, -122.491939",Public Display,District 7,Sunset Circle,"parking lot, Sunset and Lake Mercedes",San Francisco Arts Commission,bronze,bronze,"Martinez, Julian",Juan Bautista de Anza
176,1967,Commissioned for the Hall of Justice,360 in. x 480 in.,"37.7791811,-122.4158597",Public Display,District 6,Hall of Justice,"850 Bryant at 7th St., West Corner Lawn",San Francisco Arts Commission,bronze,bronze,"Voulkos, Peter",Untitled
177,1967,Commissioned by the San Francisco Arts Commission for the Hall of Justice. Collection of the city and county of San Francisco.,"8' 3 1/4"" H","37.777462, -122.420592",Public Display,District 6,Davies Hall,upper terrace,San Francisco Arts Commission,bronze,bronze,"Gordin, Sidney",Untitled
178,1967,Commissioned for the Bayview Health Center,12' H X 8' W,"37.7323428,-122.4059739",City Department,District 5,Health Center #3,1525 Silver Avenue,San Francisco Arts Commission,stained glass,stained glass windows,"Arnold, David",Untitled
179,1968,Purchased by the San Francisco Art Commission for Health Center #3,"30"" H X 60"" W","37.7323428,-122.4059739",City Department,District 5,Health Center #3,1525 Silver Avenue,San Francisco Arts Commission,cement,cement,Vaea,Untitled
180,1968,Purchased by the San Francisco Art Commission for Health Center #3,"34"" H X 74"" W","37.7323428,-122.4059739",City Department,District 5,Health Center #3,1525 Silver Avenue,San Francisco Arts Commission,cement,cement,Vaea,Untitled
181,1968,Purchased by the San Francisco Art Commission for the Anna E. Waden Branch Library.,14' X 24',"37.7321019,-122.3896884",Library,District 10,San Francisco Public Library,"Exterior, Bayview Branch",San Francisco Arts Commission,clay,bas-relief--clay,"Overhoff, Jacques",Untitled
182,1968,Gift to the City from Mayor Alioto,"95 "" X 264 "" main mural 160"" Wide; side panels 52"" Wide each","37.764416, -122.410291",Storage,District 10,Storage,,San Francisco Arts Commission,mosaic,tessere tile mosaic,"Stellon, Anthony",The Brotherhood of Man
183,1969,Gift to the City and County of San Francisco,100 in. x 69 in.,"37.7277894,-122.451725",Public Display,District 8,City College of San Francisco,Ocean Campus,San Francisco Arts Commission,steel,steel,"Bufano, Beniamino",St. Francis of the Guns
184,1969,Gift to the People of San Francisco from the Japan Federation of Economic Organizations,,"37.7701722,-122.4701557",Public Display,District 1,Golden Gate Park,Japanese Tea Garden,San Francisco Arts Commission,stone,stone,Anonymous,Untitled (Stone Lantern)
185,1969,Purchased by the San Francisco Art Commission for the Central Police Station and North Beach Garage,144 in.,"37.7595959,-122.482221",City Department,District 5,Department of Public Works,"Health Center, Irving and 24th Ave.",San Francisco Arts Commission,"copper, bronze",copper and bronze,"Marie-Rose, Henri",Sailor and Mermaid
186,1970,Purchased by the San Francisco Art Commission for Health Center #4,114 in. x 672 in. x 30 in.,"37.7967083,-122.4154927",Public Display,District 3,Broadway Tunnel,East End,San Francisco Arts Commission,"bronze, brass",sheet bronze and sheet brass,"Bowler, Patti",Dragon Relief
187,1970,Commissioned by the San Francisco Art Commission for San Francisco City College,8 square feet,"37.7277894,-122.451725",Public Display,District 11,City College of San Francisco,Student Union,San Francisco Arts Commission,"clay, oxides",fired clay/oxides,"DeStaebler, Stephen",Fireplace and Hood
188,1971,Purchased with funds donated by Levi Strauss & Co for the Bush Street Sculpture Playground.,,"37.7856501,-122.4425216",Public Display,District 2,Broderick and Bush Mini Park,,San Francisco Arts Commission,,,"Selinger, Paul",Untitled
189,1971,Purchased by the San Francisco Art Commission for Christopher Park.,,"37.7436619,-122.4404504",Public Display,District 8,Christopher Park,5210 Diamond Heights Blvd.,San Francisco Arts Commission,ceramic tile,ceramic tile,VanDenberge,Untitled
190,1971,Commissioned for the Embarcadero Plaza by the Redevelopment Agency and the San Francisco Art Commission,30' H,"37.7948985,-122.3945938",Public Display,District 3,Embarcadero,Justin Herman Plaza,San Francisco Arts Commission,concrete,pre-cast aggregate concrete hollow-core boxes,"Vaillancourt, Armand",The Embarcadero Fountain
191,1972,Commission by the San Francisco Art Commission for Candlestick Park,17' H X 76' L ; 8 1/2' H at gate openings,"37.7129103,-122.3851332",Public Display,District 10,Candlestick Stadium,,San Francisco Arts Commission,steel,cor-ten steel,"Kelly, Lee",Gate F Sculpture
192,1973,Purchased by the San Francisco Art Commission for San Francisco City College,114 in. x 60 in. x 48 in.,"37.7277894,-122.451725",Public Display,District 11,City College of San Francisco,Phelan Campus,San Francisco Arts Commission,bronze,cast bronze,"Demetrios, Aristides",Sentinels
193,1973,Purchased by the San Francisco Art Commission for San Francisco City College.,5' H X 8' W,"37.7277894,-122.451725",Public Display,District 11,City College of San Francisco,Phelan Campus,San Francisco Arts Commission,ceramic tile,ceramic relief tile,"VanDenberge, Peter",Jungle Scenes
194,1973,Bayview Health Center,,"37.720643, -122.396169",City Department,District 10,Bayview Health Center,,San Francisco Arts Commission,stained glass,stained glass,"Quagliata, Narcissus",Untitled
195,1973,Purchased by the San Francisco Art Commission for the Hall of Flowers at Golden Gate Park.,,"37.772514, -122.460012",Public Display,District 1,Golden Gate Park,Hall of Flowers,San Francisco Arts Commission,ceramic tile,glazed ceramic tile,"VanDenberge, Peter",Garden of Alice
196,1973,,,"37.778189, -122.429293",Public Display,District 5,African American Art and Culture Complex,Fulton,San Francisco Arts Commission,fresco,fresco secco,"Moya Del Pino, Jose",Murals for Acme Beer Company
197,1973,,,"37.7138806,-122.3876578",Public Display,District 10,Candlestick Stadium,Jamestown Ave. gates,San Francisco Arts Commission,concrete,concrete,"Cravath, Ruth Wakefield",Saint Francis
198,1974,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,,San Francisco Arts Commission,stone,grey stone (porterville diorite),"Puccinelli, Raimondo(Raymond)",American Bison--Buffalo
199,1974,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,,San Francisco Arts Commission,"stone, tile, concrete","stone, tile and concrete","Bufano, Beniamino",Madonna
200,1974,Purchased for the Japanese Tea Garden,"15"" H X 28"" W","37.7701722,-122.4701557",Public Display,District 1,Golden Gate Park,Japanese Tea Garden,San Francisco Arts Commission,bronze,bronze,"Asawa, Ruth",Hagiwara Family Plaque
201,1975,Purchased by the San Francisco Art Commission for the United Nations Plaza,,"37.779985,-122.4136322",Public Display,District 1,UN Plaza,,San Francisco Arts Commission,granite,granite,"Halprin, Lawrence",United Nations Plaza Fountain
202,1975,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,72 in. x 72 in.,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,,San Francisco Arts Commission,stone,cast stone aggregate,"Fuller, Mary",Dos Liones
203,1976,Gift from the government of Spain to the San Francisco Art Commission,"91/2' H X 38"" W X 44"" D","37.6986166,-122.4835175",Public Display,District 7,Sunset Circle,"parking lot, Sunset and Lake Mercedes",San Francisco Arts Commission,bronze,bronze,"Coullaut-Valera, Frederico",Statue of King Carlos III
204,1976,,"28"" H X 28"" W X 16"" D","37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,bronze,bronze,"Reed, Michael John",Mayor George Christopher
205,1976,Purchased by the San Francisco Art Commission for Firehouse #13,4' X 5',"***37.7749295,-122.4194155***",City Department,District 6,Firehouse #13,,San Francisco Arts Commission,copper,copper,"Marie-Rose, Henri",Untitled
206,1976,Commissioned by the San Francisco Art Commission for the Department of Social Services,,"37.770670, -122.420931",City Department,District 6,Dept. Social Services,"Building Facade, 170 Otis. St.",San Francisco Arts Commission,bronze,bronze,"Overhoff, Jacques",Untitled
207,1977,Purchased by the San Francisco Art Commission for the San Francisco International Airport,481/2,"37.615223,-122.389979",Airport,outside city,Business and Finance,,San Francisco Arts Commission,"acrylic, ink, canvas",acrylic and ink on canvas,"Adams, Gloria Cozzo",Cityscape #33
208,1977,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"48"" H X 74 1/2"" W Framed","37.615223,-122.389979",Airport,outside city,Terminal 1,food court,San Francisco Arts Commission,"gouache, paper",gouache on paper,"Crumpler, Dewey",Untitled
209,1977,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"56"" H X 96"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,South Arrival Lounge,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Dixon, Willard",Death Valley II
210,1977,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,North Arrivals Lounge,San Francisco Arts Commission,enamel spray paint,enamel spray paint,"Martin, Vance",Untitled
211,1977,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"42 3/4"" H X 68"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Torlakson, James",Behind Ted McCann's Garage
212,1977,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"48"" H X 96"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,"Ticketing Lobby, Connector to Terminal 3",San Francisco Arts Commission,"oil, canvas",oil on canvas,"Tchakalian, Sam",Hitwood
213,1977,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,"300"" X 120""","37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,rooftop,San Francisco Arts Commission,"mosaic tile, mural",mosaic-tile mural.,"Concha, Jerry",Roof Mural
214,1977,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,96 in. x 120 in.,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,3rd floor courtyard,San Francisco Arts Commission,"mosaic tile, mural",mosaic-tile mural,"Loarca, Carlos",Connecting Mural Bands
215,1977,Purchased by the San Francisco Arts Commission for the San Francisco General Hospital,96 in. x 240 in.,"37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,Mechanical Building,San Francisco Arts Commission,mosaic mural,mosaic mural,"Villamor, Manuel",Untitled
216,1977,,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,,,"Cravath, Ruth Wakefield",Mayor Alioto
217,1977,Purchased by the San Francisco Art Commission for the Muni Railway,9' H X 8' W X 19 'L ; 19' H X 3' diameter,"37.7229198,-122.44485",City Department,District 11,Curtis E. Green Metro Center,San Jose and Ocean Aves.,San Francisco Arts Commission,steel,corten steel,"Barnes, Carroll",Transverse and Column
218,1977,Commissioned by the San Francisco Art Commission for City College,,"37.7256859,-122.4508478",Public Display,District 11,City College of San Francisco,Phelan Campus,San Francisco Arts Commission,cement,cement,"Overhoff, Jacques",Sculpture Garden
219,1977,Commissioned for SFGH by the city,"51""H X 126"" W","37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,,San Francisco Arts Commission,"acrylic, wood panel",acrylic on wood panel,"Newman, Ruby",Children's Mural
220,1978,Purchased by the San Francisco Art Commission for the San Francisco General Hospital,"120"" H X 300"" W X 96""D","37.7557795,-122.4044431",City Department,District 10,San Francisco General Hospital,Main Quad,San Francisco Arts Commission,steel,corten steel,"Walburg, Gerald",Stiff Loops (Loop IV)
221,1978,Purchased for the John C. Woods Motor Coach Center,,"37.757833, -122.390686",Public Display,District 10,22nd Street,between Indiana and Minnesota,San Francisco Arts Commission,wood,wood,"Novak, Stephen",Untitled
222,1978,Gift of the artist to the San Francisco Art Commission.,,"37.615223,-122.389979",Storage,outside city,Airport,,San Francisco Arts Commission,"acrylic, tempera, gold leaf","acrylic, tempera and gold leaf","Hamlin, Edith",Map for the Pacific and Orient Steamship Lines
223,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,Terminal 2,"Ticketing Lobby, Connector to Terminal 3",San Francisco Arts Commission,oil,oil,"Smith, Hassel",Metamorphosis
224,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"75"" H X 75"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,"Ticketing Lobby, Connector to Terminal 3",San Francisco Arts Commission,"acrylic, canvas",acrylic on canvas,"Mullican, Lee",The Great Transparents
225,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"90""H X 72"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,Gate 51A,San Francisco Arts Commission,"enamel, canvas",enamel on canvas,"Brown, Joan",The Journey #2
226,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"67"" H X 85"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,Gate 51A,San Francisco Arts Commission,"polymer, canvas",varnished polymer on canvas,"DeForest, Roy",Homage to Zane Grey
227,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,60 in. x 84 in.,"37.615223,-122.389979",Airport,outside city,Terminal 2,Gate 59,San Francisco Arts Commission,"cement, polymer, glass","cement, polymer and glass","Dill, Laddie John",Untitled
228,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"48"" X 87 ""","37.615223,-122.389979",Airport,outside city,Terminal 2,North Arrivals Lounge,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Hedrick, Wally","17th December, 1903"
229,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"96"" H X 138"" W","37.615223,-122.389979",Storage,outside city,Airport,,San Francisco Arts Commission,"polymer, pigment, fibermesh","acrylic polymer, pigment and fibermesh","Renfrow, Gregg",Untitled
230,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"66"" H X 75"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,"Boarding Area E, Gate 61",San Francisco Arts Commission,"acrylic, canvas",acrylic on canvas,"Rivera, Gustavo","Azul, Azul Y Hacer"
231,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"60"" H X 48"" W","37.615223,-122.389979",Airport,outside city,Terminal 3,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Thiebaud, Wayne",18th Street Downgrade
232,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,18' 6,"37.615223,-122.389979",Airport,outside city,Terminal 3,,San Francisco Arts Commission,aluminum,aluminum,"Beasley, Bruce",The Hesperides
233,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,,"37.615223,-122.389979",Airport,outside city,Terminal 3,Gates 89-90,San Francisco Arts Commission,"acrylic, pencil, paper","acrylic, pencil and paper","Wiley, William",Void
234,1979,,40 in. x 150 in.,"37.770670, -122.420931",City Department,District 6,Dept. Social Services,"170 Otis St., Elevator Lobby",San Francisco Arts Commission,fiber tapestry,fiber tapestry,"Elliott, Lillian",Untitled
235,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,34 in. x 43 in.,"37.615223,-122.389979",Airport,outside city,Terminal 1,Foodcourt,San Francisco Arts Commission,"seriagraph, paper",seriagraph on paper,"Davis, Ron",Wide Wave
236,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,34 in. x 43 in.,"37.615223,-122.389979",Airport,outside city,Terminal 1,Foodcourt,San Francisco Arts Commission,"seriagraph, paper",seriagraph on paper,"Davis, Ron",Twin Wave
237,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"56""H X 96"" W","37.615223,-122.389979",Airport,outside city,Terminal 2,South Arrival Lounge,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Dixon, Willard",Above Bolinas
238,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"240"" H X 180"" W","37.615223,-122.389979",Storage,outside city,Airport,,San Francisco Arts Commission,hooked wool tapestry,hooked wool tapestry,"Beauchemin, Micheline",
239,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"46"" H X 69"" W Framed","37.615223,-122.389979",Airport,outside city,Terminal 3,,San Francisco Arts Commission,"oil, canvas",oil on canvas,"Bechtle, Robert",San Francisco Nova
240,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","37.615223,-122.389979",City Department,outside city,San Francisco International Airport,John Martin's Office,San Francisco Arts Commission,"drypoint, etching",drypoint and etching,"Diebenkorn, Richard",Untitled
241,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","37.615223,-122.389979",City Department,outside city,San Francisco International Airport,John Martin's Office,San Francisco Arts Commission,"drypoint, etching",drypoint and etching,"Diebenkorn, Richard",Untitled
242,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","37.615223,-122.389979",City Department,outside city,San Francisco International Airport,John Martin's Office,San Francisco Arts Commission,"drypoint, etching",drypoint and etching,"Diebenkorn, Richard",Untitled
243,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","37.615223,-122.389979",City Department,outside city,San Francisco International Airport,John Martin's Office,San Francisco Arts Commission,"drypoint, etching",drypoint and etching,"Diebenkorn, Richard",Untitled
244,1979,Purchased by the San Francisco Art Commission for the San Francisco International Airport.,72,"37.615223,-122.389979",Airport,outside city,Terminal 3,Boarding Area E,San Francisco Arts Commission,"acrylic, board",acrylic on board,"Loarca, Carlos",Angulos en Todas Direciones
